saves/t1/best_008_01700.dat vs saves/t1/best_006_01500.dat -> w=46, l=54, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_037_19900.dat -> w=58, l=42, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_049_29500.dat -> w=54, l=46, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_046_27800.dat -> w=45, l=55, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_057_32100.dat -> w=54, l=46, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_050_29900.dat -> w=56, l=44, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_066_37500.dat -> w=52, l=48, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_068_37800.dat -> w=48, l=52, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_072_39800.dat -> w=29, l=71, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_078_42300.dat -> w=72, l=28, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_088_48500.dat -> w=55, l=45, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_087_48300.dat -> w=54, l=46, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_105_62400.dat -> w=29, l=71, d=0
saves/t1/best_006_01500.dat vs saves/t1/best_091_51000.dat -> w=32, l=68, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_008_01700.dat -> w=37, l=63, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_006_01500.dat -> w=33, l=67, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_018_10800.dat -> w=42, l=58, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_020_11800.dat -> w=54, l=46, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_025_14600.dat -> w=54, l=46, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_038_20900.dat -> w=41, l=59, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_037_19900.dat -> w=42, l=58, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_049_29500.dat -> w=35, l=65, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_046_27800.dat -> w=56, l=44, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_057_32100.dat -> w=47, l=53, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_050_29900.dat -> w=49, l=51, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_066_37500.dat -> w=32, l=68, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_068_37800.dat -> w=31, l=69, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_072_39800.dat -> w=42, l=58, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_078_42300.dat -> w=39, l=61, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_088_48500.dat -> w=49, l=51, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_087_48300.dat -> w=44, l=56, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_105_62400.dat -> w=54, l=46, d=0
saves/t1/best_010_06600.dat vs saves/t1/best_091_51000.dat -> w=37, l=62, d=1
saves/t1/best_018_10800.dat vs saves/t1/best_008_01700.dat -> w=43, l=57, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_006_01500.dat -> w=30, l=70, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_010_06600.dat -> w=47, l=53, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_020_11800.dat -> w=21, l=79, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_025_14600.dat -> w=53, l=47, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_038_20900.dat -> w=34, l=66, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_037_19900.dat -> w=38, l=62, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_049_29500.dat -> w=31, l=69, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_046_27800.dat -> w=31, l=69, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_057_32100.dat -> w=47, l=53, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_050_29900.dat -> w=37, l=63, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_066_37500.dat -> w=32, l=68, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_068_37800.dat -> w=53, l=47, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_072_39800.dat -> w=33, l=67, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_078_42300.dat -> w=32, l=68, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_088_48500.dat -> w=39, l=61, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_087_48300.dat -> w=40, l=60, d=0
saves/t1/best_018_10800.dat vs saves/t1/best_105_62400.dat -> w=23, l=76, d=1
saves/t1/best_018_10800.dat vs saves/t1/best_091_51000.dat -> w=37, l=63, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_008_01700.dat -> w=39, l=61, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_006_01500.dat -> w=42, l=58, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_010_06600.dat -> w=56, l=44, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_018_10800.dat -> w=73, l=27, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_025_14600.dat -> w=50, l=50, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_038_20900.dat -> w=56, l=44, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_037_19900.dat -> w=53, l=46, d=1
saves/t1/best_020_11800.dat vs saves/t1/best_049_29500.dat -> w=46, l=54, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_046_27800.dat -> w=55, l=45, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_057_32100.dat -> w=44, l=56, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_050_29900.dat -> w=44, l=56, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_066_37500.dat -> w=42, l=58, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_068_37800.dat -> w=54, l=46, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_072_39800.dat -> w=42, l=58, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_078_42300.dat -> w=44, l=56, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_088_48500.dat -> w=29, l=71, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_087_48300.dat -> w=37, l=63, d=0
saves/t1/best_020_11800.dat vs saves/t1/best_105_62400.dat -> w=34, l=65, d=1
saves/t1/best_020_11800.dat vs saves/t1/best_091_51000.dat -> w=44, l=56, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_008_01700.dat -> w=30, l=70, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_006_01500.dat -> w=32, l=68, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_010_06600.dat -> w=34, l=66, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_018_10800.dat -> w=44, l=56, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_020_11800.dat -> w=49, l=51, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_038_20900.dat -> w=47, l=53, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_037_19900.dat -> w=41, l=59, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_049_29500.dat -> w=32, l=68, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_046_27800.dat -> w=43, l=57, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_057_32100.dat -> w=35, l=65, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_050_29900.dat -> w=43, l=57, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_066_37500.dat -> w=38, l=62, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_068_37800.dat -> w=42, l=58, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_072_39800.dat -> w=26, l=74, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_078_42300.dat -> w=56, l=44, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_088_48500.dat -> w=41, l=59, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_087_48300.dat -> w=46, l=54, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_105_62400.dat -> w=49, l=51, d=0
saves/t1/best_025_14600.dat vs saves/t1/best_091_51000.dat -> w=37, l=63, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_008_01700.dat -> w=56, l=44, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_006_01500.dat -> w=39, l=61, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_010_06600.dat -> w=62, l=38, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_018_10800.dat -> w=52, l=48, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_020_11800.dat -> w=33, l=67, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_025_14600.dat -> w=59, l=41, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_037_19900.dat -> w=56, l=44, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_049_29500.dat -> w=60, l=40, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_046_27800.dat -> w=50, l=50, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_057_32100.dat -> w=30, l=70, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_050_29900.dat -> w=36, l=64, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_066_37500.dat -> w=41, l=59, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_068_37800.dat -> w=29, l=71, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_072_39800.dat -> w=44, l=56, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_078_42300.dat -> w=36, l=64, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_088_48500.dat -> w=38, l=62, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_087_48300.dat -> w=45, l=55, d=0
saves/t1/best_038_20900.dat vs saves/t1/best_105_62400.dat -> w=45, l=54, d=1
saves/t1/best_038_20900.dat vs saves/t1/best_091_51000.dat -> w=27, l=73, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_008_01700.dat -> w=36, l=64, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_006_01500.dat -> w=43, l=57, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_010_06600.dat -> w=62, l=38, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_018_10800.dat -> w=62, l=38, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_020_11800.dat -> w=51, l=48, d=1
saves/t1/best_037_19900.dat vs saves/t1/best_025_14600.dat -> w=59, l=41, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_038_20900.dat -> w=48, l=52, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_049_29500.dat -> w=57, l=43, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_046_27800.dat -> w=41, l=59, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_057_32100.dat -> w=56, l=44, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_050_29900.dat -> w=47, l=53, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_066_37500.dat -> w=50, l=50, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_068_37800.dat -> w=39, l=61, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_072_39800.dat -> w=45, l=55, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_078_42300.dat -> w=45, l=55, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_088_48500.dat -> w=41, l=59, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_087_48300.dat -> w=40, l=60, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_105_62400.dat -> w=47, l=53, d=0
saves/t1/best_037_19900.dat vs saves/t1/best_091_51000.dat -> w=40, l=60, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_008_01700.dat -> w=43, l=57, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_006_01500.dat -> w=43, l=57, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_010_06600.dat -> w=73, l=27, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_018_10800.dat -> w=58, l=42, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_020_11800.dat -> w=47, l=53, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_025_14600.dat -> w=69, l=31, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_038_20900.dat -> w=46, l=54, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_037_19900.dat -> w=52, l=48, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_046_27800.dat -> w=36, l=64, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_057_32100.dat -> w=42, l=58, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_050_29900.dat -> w=52, l=48, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_066_37500.dat -> w=52, l=48, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_068_37800.dat -> w=35, l=65, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_072_39800.dat -> w=55, l=45, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_078_42300.dat -> w=65, l=35, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_088_48500.dat -> w=54, l=46, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_087_48300.dat -> w=31, l=69, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_105_62400.dat -> w=41, l=59, d=0
saves/t1/best_049_29500.dat vs saves/t1/best_091_51000.dat -> w=32, l=68, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_008_01700.dat -> w=35, l=65, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_006_01500.dat -> w=54, l=46, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_010_06600.dat -> w=48, l=52, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_018_10800.dat -> w=58, l=42, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_020_11800.dat -> w=56, l=44, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_025_14600.dat -> w=61, l=39, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_038_20900.dat -> w=44, l=56, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_037_19900.dat -> w=54, l=46, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_049_29500.dat -> w=60, l=40, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_057_32100.dat -> w=46, l=54, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_050_29900.dat -> w=52, l=48, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_066_37500.dat -> w=40, l=60, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_068_37800.dat -> w=45, l=55, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_072_39800.dat -> w=31, l=69, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_078_42300.dat -> w=35, l=65, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_088_48500.dat -> w=34, l=66, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_087_48300.dat -> w=42, l=58, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_105_62400.dat -> w=49, l=51, d=0
saves/t1/best_046_27800.dat vs saves/t1/best_091_51000.dat -> w=39, l=61, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_008_01700.dat -> w=44, l=56, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_006_01500.dat -> w=57, l=43, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_010_06600.dat -> w=57, l=42, d=1
saves/t1/best_057_32100.dat vs saves/t1/best_018_10800.dat -> w=63, l=37, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_020_11800.dat -> w=54, l=46, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_025_14600.dat -> w=60, l=40, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_038_20900.dat -> w=62, l=38, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_037_19900.dat -> w=49, l=51, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_049_29500.dat -> w=50, l=50, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_046_27800.dat -> w=47, l=53, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_050_29900.dat -> w=46, l=54, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_066_37500.dat -> w=43, l=57, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_068_37800.dat -> w=29, l=71, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_072_39800.dat -> w=33, l=67, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_078_42300.dat -> w=71, l=29, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_088_48500.dat -> w=27, l=73, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_087_48300.dat -> w=32, l=68, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_105_62400.dat -> w=48, l=52, d=0
saves/t1/best_057_32100.dat vs saves/t1/best_091_51000.dat -> w=51, l=49, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_008_01700.dat -> w=53, l=47, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_006_01500.dat -> w=49, l=51, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_010_06600.dat -> w=64, l=36, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_018_10800.dat -> w=54, l=46, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_020_11800.dat -> w=49, l=51, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_025_14600.dat -> w=61, l=39, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_038_20900.dat -> w=64, l=36, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_037_19900.dat -> w=43, l=57, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_049_29500.dat -> w=51, l=49, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_046_27800.dat -> w=53, l=47, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_057_32100.dat -> w=53, l=47, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_066_37500.dat -> w=43, l=57, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_068_37800.dat -> w=46, l=54, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_072_39800.dat -> w=44, l=56, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_078_42300.dat -> w=43, l=57, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_088_48500.dat -> w=57, l=43, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_087_48300.dat -> w=41, l=59, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_105_62400.dat -> w=54, l=46, d=0
saves/t1/best_050_29900.dat vs saves/t1/best_091_51000.dat -> w=48, l=52, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_008_01700.dat -> w=57, l=43, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_006_01500.dat -> w=43, l=57, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_010_06600.dat -> w=66, l=33, d=1
saves/t1/best_066_37500.dat vs saves/t1/best_018_10800.dat -> w=73, l=27, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_020_11800.dat -> w=61, l=39, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_025_14600.dat -> w=63, l=37, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_038_20900.dat -> w=59, l=41, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_037_19900.dat -> w=60, l=40, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_049_29500.dat -> w=55, l=45, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_046_27800.dat -> w=50, l=50, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_057_32100.dat -> w=62, l=38, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_050_29900.dat -> w=53, l=47, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_068_37800.dat -> w=50, l=50, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_072_39800.dat -> w=50, l=50, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_078_42300.dat -> w=60, l=40, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_088_48500.dat -> w=67, l=33, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_087_48300.dat -> w=49, l=51, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_105_62400.dat -> w=42, l=58, d=0
saves/t1/best_066_37500.dat vs saves/t1/best_091_51000.dat -> w=38, l=62, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_008_01700.dat -> w=67, l=33, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_006_01500.dat -> w=44, l=55, d=1
saves/t1/best_068_37800.dat vs saves/t1/best_010_06600.dat -> w=52, l=48, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_018_10800.dat -> w=50, l=50, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_020_11800.dat -> w=45, l=55, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_025_14600.dat -> w=63, l=37, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_038_20900.dat -> w=65, l=35, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_037_19900.dat -> w=67, l=33, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_049_29500.dat -> w=69, l=31, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_046_27800.dat -> w=59, l=41, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_057_32100.dat -> w=66, l=34, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_050_29900.dat -> w=55, l=45, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_066_37500.dat -> w=54, l=46, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_072_39800.dat -> w=41, l=59, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_078_42300.dat -> w=65, l=35, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_088_48500.dat -> w=44, l=56, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_087_48300.dat -> w=32, l=68, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_105_62400.dat -> w=39, l=61, d=0
saves/t1/best_068_37800.dat vs saves/t1/best_091_51000.dat -> w=38, l=62, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_008_01700.dat -> w=54, l=46, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_006_01500.dat -> w=62, l=38, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_010_06600.dat -> w=52, l=48, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_018_10800.dat -> w=69, l=31, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_020_11800.dat -> w=63, l=37, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_025_14600.dat -> w=74, l=26, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_038_20900.dat -> w=64, l=36, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_037_19900.dat -> w=54, l=45, d=1
saves/t1/best_072_39800.dat vs saves/t1/best_049_29500.dat -> w=56, l=44, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_046_27800.dat -> w=58, l=42, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_057_32100.dat -> w=56, l=44, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_050_29900.dat -> w=53, l=47, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_066_37500.dat -> w=42, l=58, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_068_37800.dat -> w=57, l=43, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_078_42300.dat -> w=73, l=27, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_088_48500.dat -> w=44, l=56, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_087_48300.dat -> w=21, l=79, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_105_62400.dat -> w=39, l=61, d=0
saves/t1/best_072_39800.dat vs saves/t1/best_091_51000.dat -> w=55, l=45, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_008_01700.dat -> w=36, l=64, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_006_01500.dat -> w=29, l=71, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_010_06600.dat -> w=67, l=32, d=1
saves/t1/best_078_42300.dat vs saves/t1/best_018_10800.dat -> w=61, l=39, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_020_11800.dat -> w=53, l=47, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_025_14600.dat -> w=45, l=55, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_038_20900.dat -> w=69, l=30, d=1
saves/t1/best_078_42300.dat vs saves/t1/best_037_19900.dat -> w=54, l=46, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_049_29500.dat -> w=41, l=59, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_046_27800.dat -> w=61, l=39, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_057_32100.dat -> w=27, l=73, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_050_29900.dat -> w=46, l=54, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_066_37500.dat -> w=40, l=60, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_068_37800.dat -> w=41, l=59, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_072_39800.dat -> w=37, l=63, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_088_48500.dat -> w=26, l=74, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_087_48300.dat -> w=46, l=54, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_105_62400.dat -> w=29, l=71, d=0
